ride,datetime,wait_times
Mexico Folk Art Gallery,2021-07-24 16:41:05.363845-04:00,Closed
Monsieur Paul,2021-07-24 16:41:05.363878-04:00,Closed
Nine Dragons Restaurant,2021-07-24 16:41:05.363910-04:00,Closed
Palais du Cinéma,2021-07-24 16:41:05.363943-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 16:41:05.363975-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 16:41:05.364008-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 16:41:05.364040-04:00,Closed
Restaurant Marrakesh,2021-07-24 16:41:05.364073-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 16:41:05.364105-04:00,Closed
SeaBase,2021-07-24 16:41:05.364138-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 16:41:05.364170-04:00,Closed
Stave Church Gallery,2021-07-24 16:41:05.364202-04:00,Closed
Teppan Edo,2021-07-24 16:41:05.364234-04:00,Closed
Tokyo Dining,2021-07-24 16:41:05.364273-04:00,Closed
Tutto Italia Ristorante,2021-07-24 16:41:05.364305-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 16:41:05.364337-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 16:41:05.364370-04:00,Closed
Awesome Planet,2021-07-24 17:01:05.898634-04:00,Open
Disney & Pixar Short Film Festival,2021-07-24 17:01:05.898681-04:00,Open
Journey Into Imagination With Figment,2021-07-24 17:01:05.898716-04:00,10 mins
Living with the Land,2021-07-24 17:01:05.898750-04:00,10 mins
Mission: SPACE,2021-07-24 17:01:05.898784-04:00,15 mins
Soarin',2021-07-24 17:01:05.898816-04:00,20 mins
Spaceship Earth,2021-07-24 17:01:05.898849-04:00,15 mins
Test Track Presented by Chevrolet,2021-07-24 17:01:05.898882-04:00,40 mins
The Seas with Nemo & Friends,2021-07-24 17:01:05.898915-04:00,10 mins
Turtle Talk With Crush,2021-07-24 17:01:05.898951-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 17:01:05.898984-04:00,Open
Frozen Ever After,2021-07-24 17:01:05.899018-04:00,45 mins
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 17:01:05.899051-04:00,35 mins
O Canada!,2021-07-24 17:01:05.899085-04:00,Closed
Advanced Training Lab,2021-07-24 17:01:05.899121-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 17:01:05.899154-04:00,Closed
American Heritage Gallery,2021-07-24 17:01:05.899187-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 17:01:05.899219-04:00,Closed
Bruce's Shark World,2021-07-24 17:01:05.899251-04:00,Closed
Chefs de France,2021-07-24 17:01:05.899284-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 17:01:05.899316-04:00,Closed
Gallery of Arts and History,2021-07-24 17:01:05.899349-04:00,Closed
House of the Whispering Willows,2021-07-24 17:01:05.899381-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 17:01:05.899414-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 17:01:05.899447-04:00,Closed
Kidcot Fun Stops,2021-07-24 17:01:05.899482-04:00,Closed
La Cava del Tequila,2021-07-24 17:01:05.899514-04:00,Closed
Manatees - Disney Animals,2021-07-24 17:01:05.899547-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 17:01:05.899579-04:00,Closed
Monsieur Paul,2021-07-24 17:01:05.899637-04:00,Closed
Nine Dragons Restaurant,2021-07-24 17:01:05.899703-04:00,Closed
Palais du Cinéma,2021-07-24 17:01:05.899741-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 17:01:05.899775-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 17:01:05.899829-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 17:01:05.899866-04:00,Closed
Restaurant Marrakesh,2021-07-24 17:01:05.899899-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 17:01:05.899932-04:00,Closed
SeaBase,2021-07-24 17:01:05.899964-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 17:01:05.899996-04:00,Closed
Stave Church Gallery,2021-07-24 17:01:05.900029-04:00,Closed
Teppan Edo,2021-07-24 17:01:05.900061-04:00,Closed
Tokyo Dining,2021-07-24 17:01:05.900095-04:00,Closed
Tutto Italia Ristorante,2021-07-24 17:01:05.900127-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 17:01:05.900159-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 17:01:05.900191-04:00,Closed
Awesome Planet,2021-07-24 17:21:05.739912-04:00,Open
Disney & Pixar Short Film Festival,2021-07-24 17:21:05.739953-04:00,Open
Journey Into Imagination With Figment,2021-07-24 17:21:05.739988-04:00,10 mins
Living with the Land,2021-07-24 17:21:05.740022-04:00,10 mins
Mission: SPACE,2021-07-24 17:21:05.740056-04:00,30 mins
Soarin',2021-07-24 17:21:05.740089-04:00,20 mins
Spaceship Earth,2021-07-24 17:21:05.740121-04:00,15 mins
Test Track Presented by Chevrolet,2021-07-24 17:21:05.740154-04:00,60 mins
The Seas with Nemo & Friends,2021-07-24 17:21:05.740196-04:00,10 mins
Turtle Talk With Crush,2021-07-24 17:21:05.740230-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 17:21:05.740263-04:00,Open
Frozen Ever After,2021-07-24 17:21:05.740298-04:00,45 mins
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 17:21:05.740331-04:00,35 mins
O Canada!,2021-07-24 17:21:05.740365-04:00,Closed
Advanced Training Lab,2021-07-24 17:21:05.740397-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 17:21:05.740430-04:00,Closed
American Heritage Gallery,2021-07-24 17:21:05.740463-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 17:21:05.740496-04:00,Closed
Bruce's Shark World,2021-07-24 17:21:05.740529-04:00,Closed
Chefs de France,2021-07-24 17:21:05.740562-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 17:21:05.740594-04:00,Closed
Gallery of Arts and History,2021-07-24 17:21:05.740627-04:00,Closed
House of the Whispering Willows,2021-07-24 17:21:05.740660-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 17:21:05.740693-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 17:21:05.740726-04:00,Closed
Kidcot Fun Stops,2021-07-24 17:21:05.740759-04:00,Closed
La Cava del Tequila,2021-07-24 17:21:05.740791-04:00,Closed
Manatees - Disney Animals,2021-07-24 17:21:05.740824-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 17:21:05.740856-04:00,Closed
Monsieur Paul,2021-07-24 17:21:05.740888-04:00,Closed
Nine Dragons Restaurant,2021-07-24 17:21:05.740921-04:00,Closed
Palais du Cinéma,2021-07-24 17:21:05.740953-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 17:21:05.740986-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 17:21:05.741020-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 17:21:05.741052-04:00,Closed
Restaurant Marrakesh,2021-07-24 17:21:05.741085-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 17:21:05.741118-04:00,Closed
SeaBase,2021-07-24 17:21:05.741150-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 17:21:05.741189-04:00,Closed
Stave Church Gallery,2021-07-24 17:21:05.741223-04:00,Closed
Teppan Edo,2021-07-24 17:21:05.741255-04:00,Closed
Tokyo Dining,2021-07-24 17:21:05.741287-04:00,Closed
Tutto Italia Ristorante,2021-07-24 17:21:05.741319-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 17:21:05.741352-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 17:21:05.741385-04:00,Closed
Awesome Planet,2021-07-24 17:41:04.662851-04:00,Open
Disney & Pixar Short Film Festival,2021-07-24 17:41:04.662891-04:00,Open
Journey Into Imagination With Figment,2021-07-24 17:41:04.662926-04:00,10 mins
Living with the Land,2021-07-24 17:41:04.662960-04:00,10 mins
Mission: SPACE,2021-07-24 17:41:04.662994-04:00,40 mins
Soarin',2021-07-24 17:41:04.663045-04:00,20 mins
Spaceship Earth,2021-07-24 17:41:04.663088-04:00,15 mins
Test Track Presented by Chevrolet,2021-07-24 17:41:04.663123-04:00,75 mins
The Seas with Nemo & Friends,2021-07-24 17:41:04.663157-04:00,10 mins
Turtle Talk With Crush,2021-07-24 17:41:04.663191-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 17:41:04.663224-04:00,Open
Frozen Ever After,2021-07-24 17:41:04.663259-04:00,60 mins
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 17:41:04.663311-04:00,35 mins
O Canada!,2021-07-24 17:41:04.663349-04:00,Closed
Advanced Training Lab,2021-07-24 17:41:04.663384-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 17:41:04.663418-04:00,Closed
American Heritage Gallery,2021-07-24 17:41:04.663451-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 17:41:04.663483-04:00,Closed
Bruce's Shark World,2021-07-24 17:41:04.663516-04:00,Closed
Chefs de France,2021-07-24 17:41:04.663549-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 17:41:04.663581-04:00,Closed
Gallery of Arts and History,2021-07-24 17:41:04.663629-04:00,Closed
House of the Whispering Willows,2021-07-24 17:41:04.663665-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 17:41:04.663698-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 17:41:04.663731-04:00,Closed
Kidcot Fun Stops,2021-07-24 17:41:04.663765-04:00,Closed
La Cava del Tequila,2021-07-24 17:41:04.663800-04:00,Closed
Manatees - Disney Animals,2021-07-24 17:41:04.663833-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 17:41:04.663866-04:00,Closed
Monsieur Paul,2021-07-24 17:41:04.663898-04:00,Closed
Nine Dragons Restaurant,2021-07-24 17:41:04.663932-04:00,Closed
Palais du Cinéma,2021-07-24 17:41:04.663965-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 17:41:04.663997-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 17:41:04.664030-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 17:41:04.664063-04:00,Closed
Restaurant Marrakesh,2021-07-24 17:41:04.664101-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 17:41:04.664134-04:00,Closed
SeaBase,2021-07-24 17:41:04.664167-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 17:41:04.664199-04:00,Closed
Stave Church Gallery,2021-07-24 17:41:04.664231-04:00,Closed
Teppan Edo,2021-07-24 17:41:04.664263-04:00,Closed
Tokyo Dining,2021-07-24 17:41:04.664296-04:00,Closed
Tutto Italia Ristorante,2021-07-24 17:41:04.664327-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 17:41:04.664360-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 17:41:04.664392-04:00,Closed
Awesome Planet,2021-07-24 18:01:04.549539-04:00,Open
Disney & Pixar Short Film Festival,2021-07-24 18:01:04.549580-04:00,Open
Journey Into Imagination With Figment,2021-07-24 18:01:04.549614-04:00,10 mins
Living with the Land,2021-07-24 18:01:04.549648-04:00,10 mins
Mission: SPACE,2021-07-24 18:01:04.549681-04:00,40 mins
Soarin',2021-07-24 18:01:04.549714-04:00,20 mins
Spaceship Earth,2021-07-24 18:01:04.549755-04:00,15 mins
Test Track Presented by Chevrolet,2021-07-24 18:01:04.549788-04:00,75 mins
The Seas with Nemo & Friends,2021-07-24 18:01:04.549821-04:00,10 mins
Turtle Talk With Crush,2021-07-24 18:01:04.549854-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 18:01:04.549887-04:00,Open
Frozen Ever After,2021-07-24 18:01:04.549921-04:00,55 mins
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 18:01:04.549954-04:00,Closed
O Canada!,2021-07-24 18:01:04.549987-04:00,Closed
Advanced Training Lab,2021-07-24 18:01:04.550019-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 18:01:04.550053-04:00,Closed
American Heritage Gallery,2021-07-24 18:01:04.550087-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 18:01:04.550119-04:00,Closed
Bruce's Shark World,2021-07-24 18:01:04.550152-04:00,Closed
Chefs de France,2021-07-24 18:01:04.550184-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 18:01:04.550217-04:00,Closed
Gallery of Arts and History,2021-07-24 18:01:04.550249-04:00,Closed
House of the Whispering Willows,2021-07-24 18:01:04.550297-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 18:01:04.550333-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 18:01:04.550366-04:00,Closed
Kidcot Fun Stops,2021-07-24 18:01:04.550399-04:00,Closed
La Cava del Tequila,2021-07-24 18:01:04.550431-04:00,Closed
Manatees - Disney Animals,2021-07-24 18:01:04.550463-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 18:01:04.550495-04:00,Closed
Monsieur Paul,2021-07-24 18:01:04.550527-04:00,Closed
Nine Dragons Restaurant,2021-07-24 18:01:04.550559-04:00,Closed
Palais du Cinéma,2021-07-24 18:01:04.550594-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 18:01:04.550626-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 18:01:04.550659-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 18:01:04.550691-04:00,Closed
Restaurant Marrakesh,2021-07-24 18:01:04.550729-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 18:01:04.550763-04:00,Closed
SeaBase,2021-07-24 18:01:04.550795-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 18:01:04.550828-04:00,Closed
Stave Church Gallery,2021-07-24 18:01:04.550860-04:00,Closed
Teppan Edo,2021-07-24 18:01:04.550897-04:00,Closed
Tokyo Dining,2021-07-24 18:01:04.550929-04:00,Closed
Tutto Italia Ristorante,2021-07-24 18:01:04.550962-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 18:01:04.550994-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 18:01:04.551026-04:00,Closed
Awesome Planet,2021-07-24 18:21:05.134739-04:00,Open
Disney & Pixar Short Film Festival,2021-07-24 18:21:05.134778-04:00,Open
Journey Into Imagination With Figment,2021-07-24 18:21:05.134813-04:00,10 mins
Living with the Land,2021-07-24 18:21:05.134849-04:00,10 mins
Mission: SPACE,2021-07-24 18:21:05.134883-04:00,40 mins
Soarin',2021-07-24 18:21:05.134916-04:00,35 mins
Spaceship Earth,2021-07-24 18:21:05.134949-04:00,20 mins
Test Track Presented by Chevrolet,2021-07-24 18:21:05.134982-04:00,75 mins
The Seas with Nemo & Friends,2021-07-24 18:21:05.135016-04:00,10 mins
Turtle Talk With Crush,2021-07-24 18:21:05.135049-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 18:21:05.135083-04:00,Open
Frozen Ever After,2021-07-24 18:21:05.135117-04:00,55 mins
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 18:21:05.135151-04:00,35 mins
O Canada!,2021-07-24 18:21:05.135185-04:00,Closed
Advanced Training Lab,2021-07-24 18:21:05.135218-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 18:21:05.135251-04:00,Closed
American Heritage Gallery,2021-07-24 18:21:05.135284-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 18:21:05.135317-04:00,Closed
Bruce's Shark World,2021-07-24 18:21:05.135351-04:00,Closed
Chefs de France,2021-07-24 18:21:05.135385-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 18:21:05.135417-04:00,Closed
Gallery of Arts and History,2021-07-24 18:21:05.135450-04:00,Closed
House of the Whispering Willows,2021-07-24 18:21:05.135483-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 18:21:05.135516-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 18:21:05.135550-04:00,Closed
Kidcot Fun Stops,2021-07-24 18:21:05.135589-04:00,Closed
La Cava del Tequila,2021-07-24 18:21:05.135687-04:00,Closed
Manatees - Disney Animals,2021-07-24 18:21:05.135725-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 18:21:05.135765-04:00,Closed
Monsieur Paul,2021-07-24 18:21:05.135799-04:00,Closed
Nine Dragons Restaurant,2021-07-24 18:21:05.135832-04:00,Closed
Palais du Cinéma,2021-07-24 18:21:05.135866-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 18:21:05.135900-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 18:21:05.135934-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 18:21:05.135968-04:00,Closed
Restaurant Marrakesh,2021-07-24 18:21:05.136002-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 18:21:05.136035-04:00,Closed
SeaBase,2021-07-24 18:21:05.136069-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 18:21:05.136121-04:00,Closed
Stave Church Gallery,2021-07-24 18:21:05.136157-04:00,Closed
Teppan Edo,2021-07-24 18:21:05.136191-04:00,Closed
Tokyo Dining,2021-07-24 18:21:05.136224-04:00,Closed
Tutto Italia Ristorante,2021-07-24 18:21:05.136257-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 18:21:05.136290-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 18:21:05.136323-04:00,Closed
Awesome Planet,2021-07-24 18:41:03.402765-04:00,Open
Disney & Pixar Short Film Festival,2021-07-24 18:41:03.402810-04:00,Open
Journey Into Imagination With Figment,2021-07-24 18:41:03.402847-04:00,10 mins
Living with the Land,2021-07-24 18:41:03.402881-04:00,10 mins
Mission: SPACE,2021-07-24 18:41:03.402915-04:00,40 mins
Soarin',2021-07-24 18:41:03.402949-04:00,35 mins
Spaceship Earth,2021-07-24 18:41:03.402981-04:00,10 mins
Test Track Presented by Chevrolet,2021-07-24 18:41:03.403014-04:00,60 mins
The Seas with Nemo & Friends,2021-07-24 18:41:03.403048-04:00,10 mins
Turtle Talk With Crush,2021-07-24 18:41:03.403088-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 18:41:03.403122-04:00,Open
Frozen Ever After,2021-07-24 18:41:03.403157-04:00,60 mins
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 18:41:03.403191-04:00,35 mins
O Canada!,2021-07-24 18:41:03.403224-04:00,Closed
Advanced Training Lab,2021-07-24 18:41:03.403257-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 18:41:03.403310-04:00,Closed
American Heritage Gallery,2021-07-24 18:41:03.403345-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 18:41:03.403378-04:00,Closed
Bruce's Shark World,2021-07-24 18:41:03.403413-04:00,Closed
Chefs de France,2021-07-24 18:41:03.403446-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 18:41:03.403479-04:00,Closed
Gallery of Arts and History,2021-07-24 18:41:03.403512-04:00,Closed
House of the Whispering Willows,2021-07-24 18:41:03.403545-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 18:41:03.403584-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 18:41:03.403674-04:00,Closed
Kidcot Fun Stops,2021-07-24 18:41:03.403713-04:00,Closed
La Cava del Tequila,2021-07-24 18:41:03.403756-04:00,Closed
Manatees - Disney Animals,2021-07-24 18:41:03.403790-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 18:41:03.403823-04:00,Closed
Monsieur Paul,2021-07-24 18:41:03.403856-04:00,Closed
Nine Dragons Restaurant,2021-07-24 18:41:03.403889-04:00,Closed
Palais du Cinéma,2021-07-24 18:41:03.403922-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 18:41:03.403956-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 18:41:03.403989-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 18:41:03.404023-04:00,Closed
Restaurant Marrakesh,2021-07-24 18:41:03.404056-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 18:41:03.404088-04:00,Closed
SeaBase,2021-07-24 18:41:03.404121-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 18:41:03.404154-04:00,Closed
Stave Church Gallery,2021-07-24 18:41:03.404187-04:00,Closed
Teppan Edo,2021-07-24 18:41:03.404219-04:00,Closed
Tokyo Dining,2021-07-24 18:41:03.404252-04:00,Closed
Tutto Italia Ristorante,2021-07-24 18:41:03.404284-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 18:41:03.404317-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 18:41:03.404350-04:00,Closed
Awesome Planet,2021-07-25 04:01:05.314388-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-25 04:01:05.314463-04:00,Closed
Journey Into Imagination With Figment,2021-07-25 04:01:05.314501-04:00,Closed
Living with the Land,2021-07-25 04:01:05.314536-04:00,Closed
Mission: SPACE,2021-07-25 04:01:05.314570-04:00,Closed
Soarin',2021-07-25 04:01:05.314622-04:00,Closed
Spaceship Earth,2021-07-25 04:01:05.314655-04:00,Closed
Test Track Presented by Chevrolet,2021-07-25 04:01:05.314687-04:00,Closed
The Seas with Nemo & Friends,2021-07-25 04:01:05.314719-04:00,Closed
Turtle Talk With Crush,2021-07-25 04:01:05.314751-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-25 04:01:05.314805-04:00,Closed
Frozen Ever After,2021-07-25 04:01:05.314846-04:00,Closed
Gran Fiesta Tour Starring The Three Caballeros,2021-07-25 04:01:05.314879-04:00,Closed
O Canada!,2021-07-25 04:01:05.314911-04:00,Closed
Advanced Training Lab,2021-07-25 04:01:05.314943-04:00,Closed
Akershus Royal Banquet Hall,2021-07-25 04:01:05.314974-04:00,Closed
American Heritage Gallery,2021-07-25 04:01:05.315006-04:00,Closed
Bijutsu-kan Gallery,2021-07-25 04:01:05.315037-04:00,Closed
Bruce's Shark World,2021-07-25 04:01:05.315068-04:00,Closed
Chefs de France,2021-07-25 04:01:05.315099-04:00,Closed
Coral Reefs - Disney Animals,2021-07-25 04:01:05.315130-04:00,Closed
Gallery of Arts and History,2021-07-25 04:01:05.315162-04:00,Closed
House of the Whispering Willows,2021-07-25 04:01:05.315193-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-25 04:01:05.315224-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-25 04:01:05.315256-04:00,Closed
Kidcot Fun Stops,2021-07-25 04:01:05.315287-04:00,Closed
La Cava del Tequila,2021-07-25 04:01:05.315319-04:00,Closed
Manatees - Disney Animals,2021-07-25 04:01:05.315351-04:00,Closed
Mexico Folk Art Gallery,2021-07-25 04:01:05.315383-04:00,Closed
Monsieur Paul,2021-07-25 04:01:05.315414-04:00,Closed
Nine Dragons Restaurant,2021-07-25 04:01:05.315445-04:00,Closed
Palais du Cinéma,2021-07-25 04:01:05.315476-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-25 04:01:05.315508-04:00,Closed
Reef Fish - Disney Animals,2021-07-25 04:01:05.315540-04:00,Closed
Remy's Ratatouille Adventure,2021-07-25 04:01:05.315571-04:00,Closed
Restaurant Marrakesh,2021-07-25 04:01:05.315639-04:00,Closed
Sea Turtles - Disney Animals,2021-07-25 04:01:05.315713-04:00,Closed
SeaBase,2021-07-25 04:01:05.315760-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-25 04:01:05.315795-04:00,Closed
Stave Church Gallery,2021-07-25 04:01:05.315829-04:00,Closed
Teppan Edo,2021-07-25 04:01:05.315862-04:00,Closed
Tokyo Dining,2021-07-25 04:01:05.315896-04:00,Closed
Tutto Italia Ristorante,2021-07-25 04:01:05.315929-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-25 04:01:05.315962-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-25 04:01:05.315995-04:00,Closed
Awesome Planet,2021-07-25 04:21:04.525125-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-25 04:21:04.525170-04:00,Closed
Journey Into Imagination With Figment,2021-07-25 04:21:04.525205-04:00,Closed
Living with the Land,2021-07-25 04:21:04.525239-04:00,Closed
Mission: SPACE,2021-07-25 04:21:04.525273-04:00,Closed
Soarin',2021-07-25 04:21:04.525305-04:00,Closed
Spaceship Earth,2021-07-25 04:21:04.525339-04:00,Closed
Test Track Presented by Chevrolet,2021-07-25 04:21:04.525372-04:00,Closed
The Seas with Nemo & Friends,2021-07-25 04:21:04.525405-04:00,Closed
Turtle Talk With Crush,2021-07-25 04:21:04.525438-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-25 04:21:04.525471-04:00,Closed
Frozen Ever After,2021-07-25 04:21:04.525506-04:00,Closed
Gran Fiesta Tour Starring The Three Caballeros,2021-07-25 04:21:04.525539-04:00,Closed
O Canada!,2021-07-25 04:21:04.525572-04:00,Closed
Advanced Training Lab,2021-07-25 04:21:04.525605-04:00,Closed
Akershus Royal Banquet Hall,2021-07-25 04:21:04.525638-04:00,Closed
American Heritage Gallery,2021-07-25 04:21:04.525671-04:00,Closed
Bijutsu-kan Gallery,2021-07-25 04:21:04.525712-04:00,Closed
Bruce's Shark World,2021-07-25 04:21:04.525746-04:00,Closed
Chefs de France,2021-07-25 04:21:04.525778-04:00,Closed
Coral Reefs - Disney Animals,2021-07-25 04:21:04.525811-04:00,Closed
Gallery of Arts and History,2021-07-25 04:21:04.525844-04:00,Closed
House of the Whispering Willows,2021-07-25 04:21:04.525877-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-25 04:21:04.525910-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-25 04:21:04.525943-04:00,Closed
Kidcot Fun Stops,2021-07-25 04:21:04.525976-04:00,Closed
La Cava del Tequila,2021-07-25 04:21:04.526028-04:00,Closed
Manatees - Disney Animals,2021-07-25 04:21:04.526065-04:00,Closed
Mexico Folk Art Gallery,2021-07-25 04:21:04.526097-04:00,Closed
Monsieur Paul,2021-07-25 04:21:04.526129-04:00,Closed
Nine Dragons Restaurant,2021-07-25 04:21:04.526162-04:00,Closed
Palais du Cinéma,2021-07-25 04:21:04.526194-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-25 04:21:04.526227-04:00,Closed
Reef Fish - Disney Animals,2021-07-25 04:21:04.526262-04:00,Closed
Remy's Ratatouille Adventure,2021-07-25 04:21:04.526295-04:00,Closed
Restaurant Marrakesh,2021-07-25 04:21:04.526327-04:00,Closed
Sea Turtles - Disney Animals,2021-07-25 04:21:04.526359-04:00,Closed
SeaBase,2021-07-25 04:21:04.526391-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-25 04:21:04.526423-04:00,Closed
Stave Church Gallery,2021-07-25 04:21:04.526455-04:00,Closed
Teppan Edo,2021-07-25 04:21:04.526487-04:00,Closed
Tokyo Dining,2021-07-25 04:21:04.526519-04:00,Closed
Tutto Italia Ristorante,2021-07-25 04:21:04.526551-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-25 04:21:04.526583-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-25 04:21:04.526615-04:00,Closed
Awesome Planet,2021-07-25 04:41:04.218390-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-25 04:41:04.218431-04:00,Closed
