ride,datetime,wait_times
Tutto Italia Ristorante,2021-07-24 10:22:45.493641-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 10:22:45.493679-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 10:22:45.493713-04:00,Closed
Awesome Planet,2021-07-24 10:37:04.139430-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-24 10:37:04.142119-04:00,Closed
Journey Into Imagination With Figment,2021-07-24 10:37:04.142248-04:00,Closed
Living with the Land,2021-07-24 10:37:04.142296-04:00,Closed
Mission: SPACE,2021-07-24 10:37:04.142336-04:00,Closed
Soarin',2021-07-24 10:37:04.142373-04:00,Closed
Spaceship Earth,2021-07-24 10:37:04.142410-04:00,Closed
Test Track Presented by Chevrolet,2021-07-24 10:37:04.142445-04:00,Closed
The Seas with Nemo & Friends,2021-07-24 10:37:04.142481-04:00,Closed
Turtle Talk With Crush,2021-07-24 10:37:04.142516-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 10:37:04.142551-04:00,Closed
Frozen Ever After,2021-07-24 10:37:04.142600-04:00,Closed
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 10:37:04.142644-04:00,Closed
O Canada!,2021-07-24 10:37:04.142679-04:00,Closed
Advanced Training Lab,2021-07-24 10:37:04.142714-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 10:37:04.142748-04:00,Closed
American Heritage Gallery,2021-07-24 10:37:04.142782-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 10:37:04.142815-04:00,Closed
Bruce's Shark World,2021-07-24 10:37:04.142849-04:00,Closed
Chefs de France,2021-07-24 10:37:04.142883-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 10:37:04.142917-04:00,Closed
Gallery of Arts and History,2021-07-24 10:37:04.142984-04:00,Closed
House of the Whispering Willows,2021-07-24 10:37:04.143024-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 10:37:04.143059-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 10:37:04.143106-04:00,Closed
Kidcot Fun Stops,2021-07-24 10:37:04.143140-04:00,Closed
La Cava del Tequila,2021-07-24 10:37:04.143174-04:00,Closed
Manatees - Disney Animals,2021-07-24 10:37:04.143207-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 10:37:04.143242-04:00,Closed
Monsieur Paul,2021-07-24 10:37:04.143277-04:00,Closed
Nine Dragons Restaurant,2021-07-24 10:37:04.143328-04:00,Closed
Palais du Cinéma,2021-07-24 10:37:04.143363-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 10:37:04.143398-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 10:37:04.143432-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 10:37:04.143465-04:00,Closed
Restaurant Marrakesh,2021-07-24 10:37:04.143499-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 10:37:04.143533-04:00,Closed
SeaBase,2021-07-24 10:37:04.143567-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 10:37:04.143603-04:00,Closed
Stave Church Gallery,2021-07-24 10:37:04.143690-04:00,Closed
Teppan Edo,2021-07-24 10:37:04.143735-04:00,Closed
Tokyo Dining,2021-07-24 10:37:04.143771-04:00,Closed
Tutto Italia Ristorante,2021-07-24 10:37:04.143806-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 10:37:04.143840-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 10:37:04.143874-04:00,Closed
Awesome Planet,2021-07-24 10:41:04.093716-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-24 10:41:04.093767-04:00,Closed
Journey Into Imagination With Figment,2021-07-24 10:41:04.093803-04:00,Closed
Living with the Land,2021-07-24 10:41:04.093836-04:00,Closed
Mission: SPACE,2021-07-24 10:41:04.093870-04:00,Closed
Soarin',2021-07-24 10:41:04.093903-04:00,Closed
Spaceship Earth,2021-07-24 10:41:04.093935-04:00,Closed
Test Track Presented by Chevrolet,2021-07-24 10:41:04.093968-04:00,Closed
The Seas with Nemo & Friends,2021-07-24 10:41:04.094001-04:00,Closed
Turtle Talk With Crush,2021-07-24 10:41:04.094034-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 10:41:04.094069-04:00,Closed
Frozen Ever After,2021-07-24 10:41:04.094103-04:00,Closed
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 10:41:04.094141-04:00,Closed
O Canada!,2021-07-24 10:41:04.094176-04:00,Closed
Advanced Training Lab,2021-07-24 10:41:04.094208-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 10:41:04.094242-04:00,Closed
American Heritage Gallery,2021-07-24 10:41:04.094275-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 10:41:04.094307-04:00,Closed
Bruce's Shark World,2021-07-24 10:41:04.094340-04:00,Closed
Chefs de France,2021-07-24 10:41:04.094372-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 10:41:04.094404-04:00,Closed
Gallery of Arts and History,2021-07-24 10:41:04.094437-04:00,Closed
House of the Whispering Willows,2021-07-24 10:41:04.094470-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 10:41:04.094502-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 10:41:04.094535-04:00,Closed
Kidcot Fun Stops,2021-07-24 10:41:04.094568-04:00,Closed
La Cava del Tequila,2021-07-24 10:41:04.094602-04:00,Closed
Manatees - Disney Animals,2021-07-24 10:41:04.094634-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 10:41:04.094667-04:00,Closed
Monsieur Paul,2021-07-24 10:41:04.094699-04:00,Closed
Nine Dragons Restaurant,2021-07-24 10:41:04.094747-04:00,Closed
Palais du Cinéma,2021-07-24 10:41:04.094782-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 10:41:04.094815-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 10:41:04.094861-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 10:41:04.094894-04:00,Closed
Restaurant Marrakesh,2021-07-24 10:41:04.094926-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 10:41:04.094959-04:00,Closed
SeaBase,2021-07-24 10:41:04.094991-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 10:41:04.095022-04:00,Closed
Stave Church Gallery,2021-07-24 10:41:04.095054-04:00,Closed
Teppan Edo,2021-07-24 10:41:04.095086-04:00,Closed
Tokyo Dining,2021-07-24 10:41:04.095118-04:00,Closed
Tutto Italia Ristorante,2021-07-24 10:41:04.095157-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 10:41:04.095189-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 10:41:04.095221-04:00,Closed
Awesome Planet,2021-07-24 11:01:05.495500-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-24 11:01:05.495540-04:00,Closed
Journey Into Imagination With Figment,2021-07-24 11:01:05.495574-04:00,Closed
Living with the Land,2021-07-24 11:01:05.495608-04:00,Closed
Mission: SPACE,2021-07-24 11:01:05.495731-04:00,Closed
Soarin',2021-07-24 11:01:05.495767-04:00,Closed
Spaceship Earth,2021-07-24 11:01:05.495801-04:00,Closed
Test Track Presented by Chevrolet,2021-07-24 11:01:05.495835-04:00,Closed
The Seas with Nemo & Friends,2021-07-24 11:01:05.495869-04:00,Closed
Turtle Talk With Crush,2021-07-24 11:01:05.495904-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 11:01:05.495937-04:00,Closed
Frozen Ever After,2021-07-24 11:01:05.495973-04:00,Closed
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 11:01:05.496006-04:00,Closed
O Canada!,2021-07-24 11:01:05.496040-04:00,Closed
Advanced Training Lab,2021-07-24 11:01:05.496073-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 11:01:05.496118-04:00,Closed
American Heritage Gallery,2021-07-24 11:01:05.496150-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 11:01:05.496182-04:00,Closed
Bruce's Shark World,2021-07-24 11:01:05.496214-04:00,Closed
Chefs de France,2021-07-24 11:01:05.496246-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 11:01:05.496278-04:00,Closed
Gallery of Arts and History,2021-07-24 11:01:05.496310-04:00,Closed
House of the Whispering Willows,2021-07-24 11:01:05.496342-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 11:01:05.496374-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 11:01:05.496406-04:00,Closed
Kidcot Fun Stops,2021-07-24 11:01:05.496439-04:00,Closed
La Cava del Tequila,2021-07-24 11:01:05.496471-04:00,Closed
