Star Tours® - The Adventures Continue,2021-07-24 16:41:05.364482-04:00,20 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 16:41:05.364516-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 16:41:05.364550-04:00,55 mins
Muppet*Vision 3D,2021-07-24 16:41:05.364583-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 16:41:05.364616-04:00,35 mins
Millennium Falcon,2021-07-24 16:41:05.364648-04:00,70 mins
SWGE Attraction 2,2021-07-24 16:41:05.364681-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 16:41:05.364713-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 16:41:05.364766-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 16:41:05.364803-04:00,70 mins
Alien Swirling Saucers,2021-07-24 16:41:05.364836-04:00,35 mins
Slinky Dog Dash,2021-07-24 16:41:05.364869-04:00,90 mins
Star Wars Launch Bay,2021-07-24 16:41:05.364901-04:00,Closed
Tune-In Lounge,2021-07-24 16:41:05.364933-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 17:01:05.900235-04:00,Closed
Walt Disney Presents,2021-07-24 17:01:05.900272-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 17:01:05.900312-04:00,20 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 17:01:05.900346-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 17:01:05.900380-04:00,45 mins
Muppet*Vision 3D,2021-07-24 17:01:05.900413-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 17:01:05.900446-04:00,45 mins
Millennium Falcon,2021-07-24 17:01:05.900479-04:00,75 mins
SWGE Attraction 2,2021-07-24 17:01:05.900511-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 17:01:05.900545-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 17:01:05.900577-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 17:01:05.900610-04:00,70 mins
Alien Swirling Saucers,2021-07-24 17:01:05.900645-04:00,35 mins
Slinky Dog Dash,2021-07-24 17:01:05.900685-04:00,90 mins
Star Wars Launch Bay,2021-07-24 17:01:05.900718-04:00,Closed
Tune-In Lounge,2021-07-24 17:01:05.900751-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 17:21:05.741424-04:00,Closed
Walt Disney Presents,2021-07-24 17:21:05.741479-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 17:21:05.741515-04:00,20 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 17:21:05.741549-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 17:21:05.741582-04:00,50 mins
Muppet*Vision 3D,2021-07-24 17:21:05.741616-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 17:21:05.741649-04:00,45 mins
Millennium Falcon,2021-07-24 17:21:05.741681-04:00,75 mins
SWGE Attraction 2,2021-07-24 17:21:05.741714-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 17:21:05.741746-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 17:21:05.741779-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-24 17:21:05.741812-04:00,65 mins
Alien Swirling Saucers,2021-07-24 17:21:05.741844-04:00,25 mins
Slinky Dog Dash,2021-07-24 17:21:05.741877-04:00,90 mins
Star Wars Launch Bay,2021-07-24 17:21:05.741909-04:00,Closed
Tune-In Lounge,2021-07-24 17:21:05.741942-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 17:41:04.664434-04:00,Closed
Walt Disney Presents,2021-07-24 17:41:04.664479-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 17:41:04.664515-04:00,15 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 17:41:04.664550-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 17:41:04.664584-04:00,45 mins
Muppet*Vision 3D,2021-07-24 17:41:04.664620-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 17:41:04.664654-04:00,45 mins
Millennium Falcon,2021-07-24 17:41:04.664687-04:00,60 mins
SWGE Attraction 2,2021-07-24 17:41:04.664720-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 17:41:04.664752-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 17:41:04.664786-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-24 17:41:04.664819-04:00,60 mins
Alien Swirling Saucers,2021-07-24 17:41:04.664852-04:00,40 mins
Slinky Dog Dash,2021-07-24 17:41:04.664885-04:00,80 mins
Star Wars Launch Bay,2021-07-24 17:41:04.664920-04:00,Closed
Tune-In Lounge,2021-07-24 17:41:04.664952-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 18:01:04.551065-04:00,Closed
Walt Disney Presents,2021-07-24 18:01:04.551101-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 18:01:04.551137-04:00,15 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 18:01:04.551170-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 18:01:04.551219-04:00,45 mins
Muppet*Vision 3D,2021-07-24 18:01:04.551255-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 18:01:04.551288-04:00,40 mins
Millennium Falcon,2021-07-24 18:01:04.551320-04:00,60 mins
SWGE Attraction 2,2021-07-24 18:01:04.551352-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 18:01:04.551384-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 18:01:04.551416-04:00,55 mins
The Twilight Zone Tower of Terror,2021-07-24 18:01:04.551448-04:00,65 mins
Alien Swirling Saucers,2021-07-24 18:01:04.551481-04:00,40 mins
Slinky Dog Dash,2021-07-24 18:01:04.551513-04:00,80 mins
Star Wars Launch Bay,2021-07-24 18:01:04.551545-04:00,Closed
Tune-In Lounge,2021-07-24 18:01:04.551576-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 18:21:05.136367-04:00,Closed
Walt Disney Presents,2021-07-24 18:21:05.136405-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 18:21:05.136439-04:00,15 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 18:21:05.136474-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 18:21:05.136509-04:00,45 mins
Muppet*Vision 3D,2021-07-24 18:21:05.136543-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 18:21:05.136584-04:00,35 mins
Millennium Falcon,2021-07-24 18:21:05.136619-04:00,60 mins
SWGE Attraction 2,2021-07-24 18:21:05.136652-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 18:21:05.136685-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 18:21:05.136719-04:00,55 mins
The Twilight Zone Tower of Terror,2021-07-24 18:21:05.136753-04:00,50 mins
Alien Swirling Saucers,2021-07-24 18:21:05.136786-04:00,40 mins
Slinky Dog Dash,2021-07-24 18:21:05.136821-04:00,75 mins
Star Wars Launch Bay,2021-07-24 18:21:05.136854-04:00,Closed
Tune-In Lounge,2021-07-24 18:21:05.136887-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 18:41:03.404404-04:00,Closed
Walt Disney Presents,2021-07-24 18:41:03.404447-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 18:41:03.404480-04:00,15 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 18:41:03.404514-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 18:41:03.404546-04:00,45 mins
Muppet*Vision 3D,2021-07-24 18:41:03.404585-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 18:41:03.404618-04:00,25 mins
Millennium Falcon,2021-07-24 18:41:03.404649-04:00,60 mins
SWGE Attraction 2,2021-07-24 18:41:03.404681-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 18:41:03.404713-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 18:41:03.404745-04:00,55 mins
The Twilight Zone Tower of Terror,2021-07-24 18:41:03.404778-04:00,45 mins
Alien Swirling Saucers,2021-07-24 18:41:03.404809-04:00,40 mins
Slinky Dog Dash,2021-07-24 18:41:03.404842-04:00,80 mins
Star Wars Launch Bay,2021-07-24 18:41:03.404893-04:00,Closed
Tune-In Lounge,2021-07-24 18:41:03.404925-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 04:01:05.316041-04:00,Closed
Walt Disney Presents,2021-07-25 04:01:05.316113-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 04:01:05.316150-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 04:01:05.316193-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 04:01:05.316228-04:00,Closed
Muppet*Vision 3D,2021-07-25 04:01:05.316260-04:00,Closed
Toy Story Midway Mania!,2021-07-25 04:01:05.316292-04:00,Closed
Millennium Falcon,2021-07-25 04:01:05.316324-04:00,Closed
SWGE Attraction 2,2021-07-25 04:01:05.316356-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 04:01:05.316388-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 04:01:05.316424-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 04:01:05.316475-04:00,Closed
Alien Swirling Saucers,2021-07-25 04:01:05.316509-04:00,Closed
Slinky Dog Dash,2021-07-25 04:01:05.316542-04:00,Closed
Star Wars Launch Bay,2021-07-25 04:01:05.316576-04:00,Closed
Tune-In Lounge,2021-07-25 04:01:05.316633-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 04:21:04.526656-04:00,Closed
Walt Disney Presents,2021-07-25 04:21:04.526699-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 04:21:04.526734-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 04:21:04.526771-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 04:21:04.526809-04:00,Closed
Muppet*Vision 3D,2021-07-25 04:21:04.526843-04:00,Closed
Toy Story Midway Mania!,2021-07-25 04:21:04.526876-04:00,Closed
Millennium Falcon,2021-07-25 04:21:04.526909-04:00,Closed
SWGE Attraction 2,2021-07-25 04:21:04.526945-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 04:21:04.526978-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 04:21:04.527012-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 04:21:04.527045-04:00,Closed
Alien Swirling Saucers,2021-07-25 04:21:04.527078-04:00,Closed
Slinky Dog Dash,2021-07-25 04:21:04.527111-04:00,Closed
Star Wars Launch Bay,2021-07-25 04:21:04.527143-04:00,Closed
Tune-In Lounge,2021-07-25 04:21:04.527176-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 04:41:04.220053-04:00,Closed
Walt Disney Presents,2021-07-25 04:41:04.220095-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 04:41:04.220130-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 04:41:04.220165-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 04:41:04.220200-04:00,Closed
Muppet*Vision 3D,2021-07-25 04:41:04.220234-04:00,Closed
Toy Story Midway Mania!,2021-07-25 04:41:04.220267-04:00,Closed
Millennium Falcon,2021-07-25 04:41:04.220301-04:00,Closed
SWGE Attraction 2,2021-07-25 04:41:04.220334-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 04:41:04.220368-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 04:41:04.220402-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 04:41:04.220435-04:00,Closed
Alien Swirling Saucers,2021-07-25 04:41:04.220468-04:00,Closed
Slinky Dog Dash,2021-07-25 04:41:04.220501-04:00,Closed
Star Wars Launch Bay,2021-07-25 04:41:04.220534-04:00,Closed
Tune-In Lounge,2021-07-25 04:41:04.220567-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 05:01:04.756479-04:00,Closed
Walt Disney Presents,2021-07-25 05:01:04.756518-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 05:01:04.756552-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 05:01:04.756585-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 05:01:04.756626-04:00,Closed
Muppet*Vision 3D,2021-07-25 05:01:04.756661-04:00,Closed
Toy Story Midway Mania!,2021-07-25 05:01:04.756694-04:00,Closed
Millennium Falcon,2021-07-25 05:01:04.756727-04:00,Closed
SWGE Attraction 2,2021-07-25 05:01:04.756760-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 05:01:04.756792-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 05:01:04.756826-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 05:01:04.756860-04:00,Closed
Alien Swirling Saucers,2021-07-25 05:01:04.756898-04:00,Closed
Slinky Dog Dash,2021-07-25 05:01:04.756939-04:00,Closed
Star Wars Launch Bay,2021-07-25 05:01:04.756972-04:00,Closed
Tune-In Lounge,2021-07-25 05:01:04.757004-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 05:21:04.625885-04:00,Closed
Walt Disney Presents,2021-07-25 05:21:04.625923-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 05:21:04.625957-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 05:21:04.625991-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 05:21:04.626025-04:00,Closed
Muppet*Vision 3D,2021-07-25 05:21:04.626059-04:00,Closed
Toy Story Midway Mania!,2021-07-25 05:21:04.626092-04:00,Closed
Millennium Falcon,2021-07-25 05:21:04.626125-04:00,Closed
SWGE Attraction 2,2021-07-25 05:21:04.626157-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 05:21:04.626192-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 05:21:04.626226-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 05:21:04.626264-04:00,Closed
Alien Swirling Saucers,2021-07-25 05:21:04.626297-04:00,Closed
Slinky Dog Dash,2021-07-25 05:21:04.626330-04:00,Closed
Star Wars Launch Bay,2021-07-25 05:21:04.626362-04:00,Closed
Tune-In Lounge,2021-07-25 05:21:04.626395-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 05:41:05.671435-04:00,Closed
Walt Disney Presents,2021-07-25 05:41:05.671473-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 05:41:05.671507-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 05:41:05.671542-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 05:41:05.671582-04:00,Closed
Muppet*Vision 3D,2021-07-25 05:41:05.671654-04:00,Closed
Toy Story Midway Mania!,2021-07-25 05:41:05.671695-04:00,Closed
Millennium Falcon,2021-07-25 05:41:05.671729-04:00,Closed
SWGE Attraction 2,2021-07-25 05:41:05.671763-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 05:41:05.671796-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 05:41:05.671856-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 05:41:05.671895-04:00,Closed
Alien Swirling Saucers,2021-07-25 05:41:05.671928-04:00,Closed
Slinky Dog Dash,2021-07-25 05:41:05.671961-04:00,Closed
Star Wars Launch Bay,2021-07-25 05:41:05.671994-04:00,Closed
Tune-In Lounge,2021-07-25 05:41:05.672027-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 06:01:04.565699-04:00,Closed
Walt Disney Presents,2021-07-25 06:01:04.565735-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 06:01:04.565769-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 06:01:04.565803-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 06:01:04.565837-04:00,Closed
Muppet*Vision 3D,2021-07-25 06:01:04.565870-04:00,Closed
Toy Story Midway Mania!,2021-07-25 06:01:04.565903-04:00,Closed
Millennium Falcon,2021-07-25 06:01:04.565935-04:00,Closed
SWGE Attraction 2,2021-07-25 06:01:04.565974-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 06:01:04.566007-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 06:01:04.566040-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 06:01:04.566078-04:00,Closed
Alien Swirling Saucers,2021-07-25 06:01:04.566117-04:00,Closed
Slinky Dog Dash,2021-07-25 06:01:04.566150-04:00,Closed
Star Wars Launch Bay,2021-07-25 06:01:04.566183-04:00,Closed
Tune-In Lounge,2021-07-25 06:01:04.566216-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 06:21:04.058522-04:00,Closed
Walt Disney Presents,2021-07-25 06:21:04.058560-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 06:21:04.058594-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 06:21:04.058628-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 06:21:04.058663-04:00,Closed
Muppet*Vision 3D,2021-07-25 06:21:04.058746-04:00,Closed
Toy Story Midway Mania!,2021-07-25 06:21:04.058782-04:00,Closed
Millennium Falcon,2021-07-25 06:21:04.058815-04:00,Closed
SWGE Attraction 2,2021-07-25 06:21:04.058848-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 06:21:04.058880-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 06:21:04.058913-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 06:21:04.058947-04:00,Closed
Alien Swirling Saucers,2021-07-25 06:21:04.058980-04:00,Closed
Slinky Dog Dash,2021-07-25 06:21:04.059013-04:00,Closed
Star Wars Launch Bay,2021-07-25 06:21:04.059046-04:00,Closed
Tune-In Lounge,2021-07-25 06:21:04.059079-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 06:41:03.807296-04:00,Closed
Walt Disney Presents,2021-07-25 06:41:03.807333-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 06:41:03.807367-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 06:41:03.807400-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 06:41:03.807434-04:00,Closed
Muppet*Vision 3D,2021-07-25 06:41:03.807473-04:00,Closed
Toy Story Midway Mania!,2021-07-25 06:41:03.807506-04:00,Closed
Millennium Falcon,2021-07-25 06:41:03.807538-04:00,Closed
SWGE Attraction 2,2021-07-25 06:41:03.807570-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 06:41:03.807602-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 06:41:03.807733-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 06:41:03.807772-04:00,Closed
Alien Swirling Saucers,2021-07-25 06:41:03.807805-04:00,Closed
Slinky Dog Dash,2021-07-25 06:41:03.807838-04:00,Closed
Star Wars Launch Bay,2021-07-25 06:41:03.807871-04:00,Closed
Tune-In Lounge,2021-07-25 06:41:03.807904-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 07:01:04.739247-04:00,Closed
Walt Disney Presents,2021-07-25 07:01:04.739284-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 07:01:04.739318-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 07:01:04.739352-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 07:01:04.739386-04:00,Closed
Muppet*Vision 3D,2021-07-25 07:01:04.739419-04:00,Closed
Toy Story Midway Mania!,2021-07-25 07:01:04.739451-04:00,Closed
Millennium Falcon,2021-07-25 07:01:04.739484-04:00,Closed
SWGE Attraction 2,2021-07-25 07:01:04.739516-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 07:01:04.739549-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 07:01:04.739590-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 07:01:04.739656-04:00,Closed
Alien Swirling Saucers,2021-07-25 07:01:04.739712-04:00,Closed
Slinky Dog Dash,2021-07-25 07:01:04.739752-04:00,Closed
Star Wars Launch Bay,2021-07-25 07:01:04.739785-04:00,Closed
Tune-In Lounge,2021-07-25 07:01:04.739818-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 07:21:04.796425-04:00,Closed
Walt Disney Presents,2021-07-25 07:21:04.796463-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 07:21:04.796497-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 07:21:04.796534-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 07:21:04.796569-04:00,Closed
Muppet*Vision 3D,2021-07-25 07:21:04.796602-04:00,Closed
Toy Story Midway Mania!,2021-07-25 07:21:04.796635-04:00,Closed
Millennium Falcon,2021-07-25 07:21:04.796668-04:00,Closed
SWGE Attraction 2,2021-07-25 07:21:04.796701-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 07:21:04.796734-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 07:21:04.796767-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 07:21:04.796800-04:00,Closed
Alien Swirling Saucers,2021-07-25 07:21:04.796833-04:00,Closed
Slinky Dog Dash,2021-07-25 07:21:04.796866-04:00,Closed
Star Wars Launch Bay,2021-07-25 07:21:04.796899-04:00,Closed
Tune-In Lounge,2021-07-25 07:21:04.796931-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 07:41:04.816875-04:00,Closed
Walt Disney Presents,2021-07-25 07:41:04.816912-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 07:41:04.816945-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 07:41:04.816978-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 07:41:04.817012-04:00,Closed
Muppet*Vision 3D,2021-07-25 07:41:04.817045-04:00,Closed
Toy Story Midway Mania!,2021-07-25 07:41:04.817077-04:00,Closed
Millennium Falcon,2021-07-25 07:41:04.817109-04:00,Closed
SWGE Attraction 2,2021-07-25 07:41:04.817141-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 07:41:04.817173-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 07:41:04.817206-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 07:41:04.817238-04:00,Closed
Alien Swirling Saucers,2021-07-25 07:41:04.817270-04:00,Closed
Slinky Dog Dash,2021-07-25 07:41:04.817303-04:00,Closed
Star Wars Launch Bay,2021-07-25 07:41:04.817335-04:00,Closed
Tune-In Lounge,2021-07-25 07:41:04.817367-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 08:02:08.466665-04:00,Closed
Walt Disney Presents,2021-07-25 08:02:08.466708-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 08:02:08.466741-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 08:02:08.466774-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 08:02:08.466806-04:00,Closed
Muppet*Vision 3D,2021-07-25 08:02:08.466838-04:00,Closed
Toy Story Midway Mania!,2021-07-25 08:02:08.466869-04:00,Closed
Millennium Falcon,2021-07-25 08:02:08.466900-04:00,Closed
SWGE Attraction 2,2021-07-25 08:02:08.466931-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 08:02:08.466963-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 08:02:08.466995-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 08:02:08.467033-04:00,Closed
Alien Swirling Saucers,2021-07-25 08:02:08.467066-04:00,Closed
Slinky Dog Dash,2021-07-25 08:02:08.467109-04:00,Closed
Star Wars Launch Bay,2021-07-25 08:02:08.467140-04:00,Closed
Tune-In Lounge,2021-07-25 08:02:08.467172-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 08:21:04.153385-04:00,Closed
Walt Disney Presents,2021-07-25 08:21:04.153422-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 08:21:04.153455-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 08:21:04.153489-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 08:21:04.153524-04:00,Closed
Muppet*Vision 3D,2021-07-25 08:21:04.153563-04:00,Closed
Toy Story Midway Mania!,2021-07-25 08:21:04.153597-04:00,Closed
Millennium Falcon,2021-07-25 08:21:04.153630-04:00,Closed
SWGE Attraction 2,2021-07-25 08:21:04.153663-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 08:21:04.153696-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 08:21:04.153729-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 08:21:04.153763-04:00,Closed
Alien Swirling Saucers,2021-07-25 08:21:04.153800-04:00,Closed
Slinky Dog Dash,2021-07-25 08:21:04.153833-04:00,Closed
Star Wars Launch Bay,2021-07-25 08:21:04.153865-04:00,Closed
Tune-In Lounge,2021-07-25 08:21:04.153898-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 08:41:03.975158-04:00,Closed
Walt Disney Presents,2021-07-25 08:41:03.975200-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 08:41:03.975234-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 08:41:03.975269-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 08:41:03.975303-04:00,Closed
Muppet*Vision 3D,2021-07-25 08:41:03.975336-04:00,Closed
Toy Story Midway Mania!,2021-07-25 08:41:03.975370-04:00,Closed
Millennium Falcon,2021-07-25 08:41:03.975403-04:00,Closed
SWGE Attraction 2,2021-07-25 08:41:03.975436-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 08:41:03.975469-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 08:41:03.975507-04:00,Closed
The Twilight Zone Tower of Terror,2021-07-25 08:41:03.975541-04:00,Closed
Alien Swirling Saucers,2021-07-25 08:41:03.975574-04:00,Closed
Slinky Dog Dash,2021-07-25 08:41:03.975607-04:00,Closed
Star Wars Launch Bay,2021-07-25 08:41:03.975694-04:00,Closed
Tune-In Lounge,2021-07-25 08:41:03.975732-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 09:01:22.450425-04:00,Closed
Walt Disney Presents,2021-07-25 09:01:22.450462-04:00,Closed
Star Tours® - The Adventures Continue,2021-07-25 09:01:22.450495-04:00,Closed
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 09:01:22.450529-04:00,Closed
Mickey and Minnie's Runaway Railway,2021-07-25 09:01:22.450563-04:00,Closed
Muppet*Vision 3D,2021-07-25 09:01:22.450596-04:00,Closed
Toy Story Midway Mania!,2021-07-25 09:01:22.450628-04:00,Closed
Millennium Falcon,2021-07-25 09:01:22.450668-04:00,Closed
SWGE Attraction 2,2021-07-25 09:01:22.450701-04:00,Closed
Lightning McQueen's Racing Academy,2021-07-25 09:01:22.450733-04:00,Closed
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 09:01:22.450766-04:00,Closed
