109,2021-07-23 23:55:06.618702-04:00,,0
122,2021-07-23 23:55:06.618760-04:00,,0
129,2021-07-23 23:55:06.618797-04:00,,0
134,2021-07-23 23:55:06.618831-04:00,,0
138,2021-07-23 23:55:06.618864-04:00,,0
148,2021-07-23 23:55:06.618898-04:00,,0
116,2021-07-23 23:55:06.618937-04:00,,0
117,2021-07-23 23:55:06.618970-04:00,,0
121,2021-07-23 23:55:06.619004-04:00,,0
124,2021-07-23 23:55:06.619037-04:00,,0
126,2021-07-23 23:55:06.619069-04:00,,0
128,2021-07-23 23:55:06.619103-04:00,,0
130,2021-07-23 23:55:06.619136-04:00,,0
131,2021-07-23 23:55:06.619169-04:00,,0
135,2021-07-23 23:55:06.619202-04:00,,0
139,2021-07-23 23:55:06.619235-04:00,,0
143,2021-07-23 23:55:06.619274-04:00,,0
144,2021-07-23 23:55:06.619308-04:00,,0
111,2021-07-23 23:55:06.619341-04:00,,0
115,2021-07-23 23:55:06.619374-04:00,,0
133,2021-07-23 23:55:06.619409-04:00,,0
140,2021-07-23 23:55:06.619446-04:00,,0
145,2021-07-23 23:55:06.619479-04:00,,0
119,2021-07-23 23:55:06.619512-04:00,,0
123,2021-07-23 23:55:06.619545-04:00,,0
137,2021-07-23 23:55:06.619578-04:00,,0
125,2021-07-23 23:55:06.619635-04:00,,0
146,2021-07-23 23:55:06.619676-04:00,,0
110,2021-07-23 23:55:06.619711-04:00,,0
112,2021-07-23 23:55:06.619744-04:00,,0
127,2021-07-23 23:55:06.619778-04:00,,0
132,2021-07-23 23:55:06.619812-04:00,,0
141,2021-07-23 23:55:06.619845-04:00,,0
142,2021-07-23 23:55:06.619877-04:00,,0
147,2021-07-23 23:55:06.619911-04:00,,0
113,2021-07-23 23:55:06.619944-04:00,,0
114,2021-07-23 23:55:06.619979-04:00,,0
118,2021-07-23 23:55:06.620012-04:00,,0
120,2021-07-23 23:55:06.620045-04:00,,0
136,2021-07-23 23:55:06.620078-04:00,,0
109,2021-07-24 10:22:45.494365-04:00,,0
122,2021-07-24 10:22:45.494432-04:00,55,1
129,2021-07-24 10:22:45.494471-04:00,20,1
134,2021-07-24 10:22:45.494505-04:00,,1
138,2021-07-24 10:22:45.494540-04:00,10,1
148,2021-07-24 10:22:45.494573-04:00,,1
116,2021-07-24 10:22:45.494607-04:00,10,1
117,2021-07-24 10:22:45.494641-04:00,,0
121,2021-07-24 10:22:45.494684-04:00,10,1
124,2021-07-24 10:22:45.494720-04:00,5,1
126,2021-07-24 10:22:45.494758-04:00,10,1
128,2021-07-24 10:22:45.494792-04:00,35,1
130,2021-07-24 10:22:45.494825-04:00,10,1
131,2021-07-24 10:22:45.494859-04:00,75,1
135,2021-07-24 10:22:45.494910-04:00,5,1
139,2021-07-24 10:22:45.494946-04:00,20,1
143,2021-07-24 10:22:45.494980-04:00,,1
144,2021-07-24 10:22:45.495013-04:00,,0
111,2021-07-24 10:22:45.495047-04:00,30,1
115,2021-07-24 10:22:45.495080-04:00,,0
133,2021-07-24 10:22:45.495113-04:00,50,1
140,2021-07-24 10:22:45.495145-04:00,,0
145,2021-07-24 10:22:45.495178-04:00,,0
119,2021-07-24 10:22:45.495211-04:00,,0
123,2021-07-24 10:22:45.495244-04:00,,1
137,2021-07-24 10:22:45.495277-04:00,,0
125,2021-07-24 10:22:45.495311-04:00,,0
146,2021-07-24 10:22:45.495344-04:00,,0
