Column1,Column2,Column3
Migratory Birds at Tree of Life - Disney Animals,2021-07-24 10:22:45.491738-04:00,Closed
Okapis - Disney Animals,2021-07-24 10:22:45.491772-04:00,Closed
Rainforest Cafe® at Disney's Animal Kingdom,2021-07-24 10:22:45.491805-04:00,Closed
The Oasis Exhibits,2021-07-24 10:22:45.491839-04:00,Closed
Tigers - Disney Animals,2021-07-24 10:22:45.491872-04:00,Closed
Tree of Life,2021-07-24 10:22:45.491905-04:00,Closed
Tusker House Restaurant,2021-07-24 10:22:45.491937-04:00,Open
Vultures - Disney Animals,2021-07-24 10:22:45.491970-04:00,Closed
White Rhinos - Disney Animals,2021-07-24 10:22:45.492003-04:00,Closed
Wilderness Explorers,2021-07-24 10:22:45.492036-04:00,Closed
Yak & Yeti™ Restaurant,2021-07-24 10:22:45.492068-04:00,Closed
Kilimanjaro Safaris,2021-07-24 10:37:04.137473-04:00,55 mins
Pangani Forest Exploration Trail,2021-07-24 10:37:04.137670-04:00,Open
Wildlife Express Train,2021-07-24 10:37:04.137731-04:00,Open
Expedition Everest - Legend of the Forbidden Mountain®,2021-07-24 10:37:04.137773-04:00,30 mins
Kali River Rapids,2021-07-24 10:37:04.137812-04:00,25 mins
DINOSAUR,2021-07-24 10:37:04.137848-04:00,40 mins
The Boneyard,2021-07-24 10:37:04.137883-04:00,Closed
TriceraTop Spin,2021-07-24 10:37:04.137917-04:00,5 mins
It's Tough to be a Bug!,2021-07-24 10:37:04.137955-04:00,10 mins
Avatar Flight of Passage,2021-07-24 10:37:04.137989-04:00,130 mins
Na'vi River Journey,2021-07-24 10:37:04.138033-04:00,50 mins
The Animation Experience at Conservation Station,2021-07-24 10:37:04.138068-04:00,Open
Affection Section,2021-07-24 10:37:04.138121-04:00,Closed
African Birds - Disney Animals,2021-07-24 10:37:04.138159-04:00,Closed
African Elephants - Disney Animals,2021-07-24 10:37:04.138193-04:00,Closed
African Hogs - Disney Animals,2021-07-24 10:37:04.138227-04:00,Closed
African Lions - Disney Animals,2021-07-24 10:37:04.138261-04:00,Closed
Ankole Cattle - Disney Animals,2021-07-24 10:37:04.138294-04:00,Closed
Asian Small-Clawed Otters - Disney Animals,2021-07-24 10:37:04.138328-04:00,Closed
Black Rhinos - Disney Animals,2021-07-24 10:37:04.138362-04:00,Closed
Conservation Station,2021-07-24 10:37:04.138395-04:00,Closed
Cotton-Top Tamarins - Disney Animals,2021-07-24 10:37:04.138428-04:00,Closed
Dino-Sue,2021-07-24 10:37:04.138461-04:00,Closed
Discovery Island Trails,2021-07-24 10:37:04.138494-04:00,Closed
Flamingos - Disney Animals,2021-07-24 10:37:04.138529-04:00,Closed
Fossil Fun Games,2021-07-24 10:37:04.138569-04:00,Closed
Gibbons - Disney Animals,2021-07-24 10:37:04.138604-04:00,Closed
Giraffes - Disney Animals,2021-07-24 10:37:04.138637-04:00,Closed
Gorillas - Disney Animals,2021-07-24 10:37:04.138670-04:00,Closed
Hippopotamuses - Disney Animals,2021-07-24 10:37:04.138723-04:00,Closed
Invertebrates at Gorilla Falls Exploration Trail - Disney Animals,2021-07-24 10:37:04.138781-04:00,Closed
Invertebrates at Rafiki's Planet Watch - Disney Animals,2021-07-24 10:37:04.138845-04:00,Closed
Komodo Dragons - Disney Animals,2021-07-24 10:37:04.138906-04:00,Closed
Meerkats - Disney Animals,2021-07-24 10:37:04.138945-04:00,Closed
Migratory Birds at Maharajah Jungle Trek - Disney Animals,2021-07-24 10:37:04.138978-04:00,Closed
Migratory Birds at The Oasis Exhibits - Disney Animals,2021-07-24 10:37:04.139012-04:00,Closed
Migratory Birds at Tree of Life - Disney Animals,2021-07-24 10:37:04.139046-04:00,Closed
Okapis - Disney Animals,2021-07-24 10:37:04.139080-04:00,Closed
Rainforest Cafe® at Disney's Animal Kingdom,2021-07-24 10:37:04.139113-04:00,Closed
The Oasis Exhibits,2021-07-24 10:37:04.139147-04:00,Closed
Tigers - Disney Animals,2021-07-24 10:37:04.139182-04:00,Closed
Tree of Life,2021-07-24 10:37:04.139215-04:00,Closed
Tusker House Restaurant,2021-07-24 10:37:04.139248-04:00,Open
Vultures - Disney Animals,2021-07-24 10:37:04.139281-04:00,Closed
White Rhinos - Disney Animals,2021-07-24 10:37:04.139314-04:00,Closed
Wilderness Explorers,2021-07-24 10:37:04.139347-04:00,Closed
Yak & Yeti™ Restaurant,2021-07-24 10:37:04.139380-04:00,Closed
Kilimanjaro Safaris,2021-07-24 10:41:04.091895-04:00,55 mins
Pangani Forest Exploration Trail,2021-07-24 10:41:04.092074-04:00,Open
Wildlife Express Train,2021-07-24 10:41:04.092139-04:00,Open
Expedition Everest - Legend of the Forbidden Mountain®,2021-07-24 10:41:04.092184-04:00,30 mins
Kali River Rapids,2021-07-24 10:41:04.092223-04:00,25 mins
DINOSAUR,2021-07-24 10:41:04.092260-04:00,40 mins
The Boneyard,2021-07-24 10:41:04.092295-04:00,Closed
TriceraTop Spin,2021-07-24 10:41:04.092330-04:00,5 mins
